Word,Tech-IB Score
aapl,2
academics,1
account,2
acquire,4
acquired,4
acquires,4
acquiring,4
acquisition,4
action,1
active,1
actively,1
actor,1
actors,1
adaptive,2
administer,1
administrator,1
adopters,2
adopting,2
adoption,2
advisors,3
adwords,2
afford,1
aftersales,4
agencies,2
agency,2
airbnb,2
alerts,2
algorithm,2
algorithmic,2
algos,2
alias,2
alibaba,2
allocation,3
amateurs,1
amazon,2
analysis,3
analyst,2
analysts,2
analytics,3
analyze,3
android,3
announce,3
announced,3
announces,3
announcing,3
antitrust,3
api,2
apis,2
app,2
appl,1
apple,4
applecast,4
appliances,2
application,2
applications,2
apps,2
architect,3
archive,1
asset,3
assets,3
automated,2
automates,2
automatically,2
automation,2
availability,1
backdoor,1
baidu,2
bank,3
bankers,4
banking,4
banks,3
barclays,2
bayesian,1
benchmarking,3
biggest,2
billing,3
billion,1
billionaire,1
billions,1
bing,1
biotech,2
biotechnology,2
biotechs,2
bit,1
bite,1
bites,1
biz,1
blackberry,2
blacklist,2
blog,1
blogfeed,1
blogging,1
bloomberg,2
bluetooth,2
boilerplate,2
bostonglobe,2
brand,3
brands,3
broadcasting,2
brokerage,4
browser,1
business,2
businesses,2
businessinsider,1
button,1
buyer,3
buyers,3
buying,3
buyout,4
buys,1
calculate,2
calculations,2
campaigns,1
career,1
cash,2
cashed,2
catalyst,2
cdn,2
cellular,1
ceo,3
ceos,2
cfa,1
cfo,3
chart,2
cheap,1
cheaper,1
citigroup,2
clientele,3
clients,3
close,2
closing,3
cloud,3
clouds,1
code,2
coding,2
collaboration,1
collaborative,1
colleague,1
columnist,1
commands,1
commence,1
commented,1
comments,1
commercial,1
commission,1
commodity,3
communication,2
communications,2
companies,3
competition,2
competitor,2
complaint,1
component,1
computer,2
computers,2
conditioned,1
conference,2
conferene,1
confidence,1
confidential,2
configuration,2
configure,2
configuring,2
confirm,1
confirms,1
connections,2
connectivity,2
consensus,2
consent,0
consider,1
consultant,2
consultants,2
consultation,2
consulting,2
consultor,2
consumer,3
consumers,3
contracts,4
conversion,1
conversions,1
conversocial,1
converter,1
converting,1
copyrights,4
cornerstone,1
corporation,3
court,2
credit,2
credits,2
crm,4
currency,3
current,1
currently,1
